s1,s2,stance
رغم القرض العملاق.. العملة الأرجنتينية تواصل الانزلاق,فشل دفع عملة الأرجنتين رغم القرض العملاق,agree
11 شاحنة غاز مصرية تدخل قطاع غزة,غاز مصري إلى غزة,agree
زيادة على الرسوم الجمركية في الجزائر,الجزائر تخفض رسومها الجمركية,disagree
تجميد قرار رفع المحروقات بالأردن,العاهل الأردني مع سريان قرار المحروقات الجديد,disagree
تركيا: السجن المؤبد لستة صحفيين لعلاقتهم بالانقلاب,اطلاق سراح 6 صحفيين فى تركيا,disagree
إنفوغرافيك.. الليرة التركية تغوص نحو المجهول,إنفوغرافيك يبين ذهاب الليرة اللبنانية إلى المجهول,disagree
قانون الأوقاف الجديد في سوريا، أين المشكلة؟,قانون الأوقات الجديد فى سوريا يلقى قبول الجميع,disagree
الأمم المتحدة: القتال في الغوطة أدى إلى نزوح 50 ألف مدني,تم تهجير 50 ألف مواطن بسبب القتال في الغوطة,agree
توتال: الاستثمار في النفط الصخري مكلف للغاية,توتال متجهة للاستثمار في النفط الصخري,disagree
تصريحات ترامب تعوض خسائر النفط الأخيرة,إعلان ترامب يلحق خسائر بالغة بأسعار النفط,disagree
اكتشاف حقول معادن ثمينة تسد حاجات العالم لقرون,اكتشاف حقول نفطية تسد الاحتياج العالمي لقرون,disagree
تعرف على من يشملهم قرار مصادرة أملاك رموز حكم صدام حسين,إلغاء مصادرة أملاك رموز حكم صدام حسين,disagree
رئيس الوزراء الإثيوبي يطمئن مصر بشأن سد النهضة,مصر تطمئن أثيوبيا حول سد النهضة,disagree
تقارير عن مقتل وإصابة إسرائيليين على يد مسلح فلسطيني,أنباء عن مقتل أمريكيين على يد مسلح فلسطيني,disagree
اختفاء خاشقجي: تركيا تنتظر التفاهم مع السعودية لبدء تفتيش مقر القنصل باسطنبول,تركيا ترفض التفاهم مع الجانب السعودي,disagree
أمام تراجع أسعار النفط أوبك تتجه لزيادة الإنتاج,أوبك قد تخفض الأنتاج أمام صعود أسعار النفط,disagree
افتتاح أول دار عرض في السعودية منذ أكثر من 35 عاما بفيلم النمر الأسود,السعودية تشيد دارا للأوبرا ضمن استثمارات ترفيهية تكلفتها 64 مليار دولار,other
ترحيب بظهور أشهر عارضات الأزياء الممتلئات في العالم من دون رتوش,هل دفعت قطر أكبر فدية في التأريخ لتحرير الأمراء المخطوفين في العراق؟,other
توقف العمل فى ميناء أم قصر نتيجة للاشتباكات العنيفة فى مظاهرات البصرة,استمرار العمل فى ميناء أم قصر رغم الاشتباكات العنيفة فى مظاهرات البصرة,disagree
بالأرقام.. كيف انهارت الليرة؟ وماذا ينتظر الاقتصاد التركي؟,انهيار الليرة اللبنانية بالأرقام.. و ما هو مصير الاقتصاد الببناني؟,disagree
التضخم يسجل أعلى مستوياته في تركيا منذ أعوام,تسجيل ادنى مستوى للتضخم في تركيا منذ ١٥ عاما,disagree
رئيس الوزراء الإثيوبي يلوح بأن مشروع سد النهضة قد لا يظهر قريبا,رئيس الوزراء الإثيوبي يعلن ظهور مشروع سد النهضة قريبا,disagree
فرض حظر التجول من جديد بعد مقتل متظاهر في احتجاجات البصرة,إلغاء حظر التجول في البصرة,disagree
منظمة حقوقية تعلن ان ليبيا غير جاهزة لإجراء انتخابات حرة ونزيهة,منظمة حقوقية تدعو لإجراء انتخابات في ليبيا,disagree
حادث قطار بشع في البحيرة بمصر نتج عنه مقتل وإصابة العشرات,حادث قطار في القاهرة بمصر نتج عنه إصابة ومقتل العديد,disagree
الرئيس التونسي يدعو إلى المساواة في الميراث بين الرجل والمرأة,عباس يدعو إلى مؤتمر دولي للسلام في الشرق الأوسط منتصف هذا العام,other
أردوغان يرد على ترامب بفرض عقوبات على وزيرين أمريكيين,أردوغان يرفض معاقبة وزيرين أمريكيين بعد تصريحات ترامب,disagree
منظمة حقوقية: ليبيا غير جاهزة لانتخابات حرة ونزيهة,منظمة حقوقية تدعو لإجراء انتخابات في ليبيا,disagree
إسرائيل تشدد إجراءات حظر التدخين في الأماكن العامة,السماح بالتدخين في الأماكن العامة فى إسرائيل,disagree
خطة صينية لغزو سوق السيارات الكهربائية,خطة يابانية لغزو سوق السيارات الكهربائية,disagree
رحيل ميني مي عن عمر لم يتجاوز 49 عاما,وفاة ميني مي عن عمر يناهز 80 عام,disagree
النفط يهبط مع تزايد الإمدادات والتوترات التجارية,الإمدادات والتوترات تؤديان لانخفاض أسعار النفط,agree
مكاسب الجيش تنعش الليرة السورية,الليرة السورية ترتفع مع تقدم الجيش السوري,agree
انتخاب أول امرأة لتولي منصب شيخ مدينة تونس,امرأة فى تونس تفشل فى الحصول على منصب شيخ مدينة,disagree
بت كوين تواصل الهبوط بشكل متسارع,ارتفاع مفاجئ في أسعار البتكوين,disagree
أربعة طائرات تورنادو تقصف مخزن أسلحة كيماوية في سوريا,قصف على مخزن أسلحة كيماوية في سوريا,agree
معركة الحديدة.. المبعوث الأممي يجري مباحثات في صنعاء مع استمرار القتال,المبعوث الأممي يتجاهل الوضع الراهن,disagree
عشيرة الغفران تقدم شكوى ضد قطر فى مجلس حقوق الإنسان,حل أزمة عشيرة الغفران مع قطر,disagree
بريطانيا تخرج من الاتحاد الجمركي الأوروبي,جونسون يدعو ب بريطانيا للبقاء في الاتحاد الجمركي الأوروبي,disagree
فلسطينيون: خرجنا إلى التظاهرات من أجل العودة,هدوء الأوضاع فى فلسطين,disagree
أفضل فيلم جماهيري: جائزة جديدة تضيفها أوسكار,أفضل فيلم سياسي: جائزة جديدة تضيفها أوسكار,disagree
السعودية تعتقل وتمنع من السفر المزيد من ناشطات حقوق الإنسان,السعودية بدون أي اعتقالات,disagree
محاكمة مواطن فرنسي في القدس بتهمة تهريب أسلحة من غزة,فرنسي يفلت من المحاكمة في القدس,disagree
انفجار في مصنع للكيماويات قرب مطار القاهرة بالعاصمة المصرية,انفجار قوى فى مصنوع للمواد الكيماوية بالقرب من مطار القاهرة,agree
التضخم يتراجع في الجزائر,تراجع التضخم النصف سنوي في الجزائر,agree
الليرة التركية.. لماذا لم تنتعش بعد رفع أسعار الفائدة؟,زيادة الفائدة دون تأثير على قيمة الليرة التركية,agree
العملة التركية تتدهور إلى مستوى قياسي جديد,صعود للعملة التركية مجدداً,disagree
الحرب في سوريا: الرئيس الروسي يأمر بوقف إنساني للقتال في الغوطة الشرقية,الرئيس الروسي يعلن استمرار القتال في الغوطة الشرقية فى سوريا,disagree
خطوبة نيك جوناس وبريانكا شوبرا,نيك جوناس وبريانكا شوبرا يؤكدان جوازهما,disagree
تركيا تتعهد بتعقب الزعيم الكردي السوري صالح مسلم أينما ذهب,تركيا تتوقف عن ملاحقة الزعيم الكردي السوري صالح مسلم,disagree
مذكرة تفاهم في خطة ٢٠٣٠ تتمحور حول الطاقة الشمسية,خطة ٢٠٣٠ الاقتصادية تخلو من مشاريع الطاقة الشمسية,disagree
آمال مصرية إيطالية كبيرةبشأن كشف غموض مقتل ريجيني,تطلعات مصرية إيطالية كبيرة تهدف لكشف الغموض عن مقتل ريجينى,agree
فلسطين.. تعديلات ضريبية لزيادة الإيرادات,تعديلات ضريبية فلسطينية لتحسين الإيرادات,agree
ميناء الحديدة الاستراتيجي يشكل معركة حقيقية في اليمن,احتدام المعارك على ميناء الحديدة الاستراتيجي في السعودية,disagree
إحدى متهِمات هارفي واينستين بالتحرش تحرشت جنسيا بصبي,واحدة من متهمات هارفي واينستين تحرشت جنسياً بصبي,agree
السعودية تأمر بتسليم 25 مدرسة للقطاع الخاص,استلام ٢٥ مدرسة للقطاع العام بالسعودية,disagree
تعديلات ضريبية فلسطينية لتحسين الإيرادات,تعديل ضريبي فلسطيني لخفض الإيرادات,disagree
تعرض السعودية لأزمات مستمرة بسبب إختفاء خاشقجي,تعرض تركيا للضغط من قبل رجال الأعمال بسبب إختفاء خاشفجي,disagree
الآلاف يتظاهرون في المغرب ضد سجن قادة الحراك الشعبي,الآلاف في المغرب يدعمون سجن قادة الحراك الشعبي,disagree
الذهب يرتفع مع هبوط الدولار لأدنى مستوياته,انخفاض على أسعار الذهب مع ارتفاع في قيمة الدولار,disagree
صورة قيادي بالإخوان تتصدر صفحة وكالة أنباء الشرق الأوسط المصرية بعد اختراقها,صفحة وكالة أنباء الشرق الأوسط المصرية تُخترق و يظهر عليها صورة أحد قادة الإخوان,agree
النفط يتخطى حاجز الـ80 دولارا,النفط يقل عن ٨٠ دولار,disagree
ارتفاع هو الافضل للذهب خلال ١٢ أسبوعا,انخفاض الذهب لأدنى مستوى في  ١٢ اسبوعا,disagree
تكليف عمر الرزاز برئاسة الحكومة الأردنية,من هو عمر الرزاز المكلف برئاسة الحكومة اللبنانية؟,disagree
انقلاب قارب في نهر النيل بشمال السودان مما نتج عنه مصرع 24 تلميذا,نجاة 24 تلميذا من حادث انقلاب قارب في نهر النيل شمال السودان,disagree
النفط يرتفع قبيل العقوبات الأميركية على إيران,النفط يستقر قبيل العقوبات,disagree
السعودية لا تزال تعتقل 9 بينهم 4 سيدات بتهمة الإضرار بالأمن,اعتقال 9 بينهم 4 سيدات بتهمة الإضرار بالأمن فى السعودية,agree
بين الماء والنار: إيران في عين العاصفة,إيران وسط العاصفة بين الماء و النار,agree
بالصور: فيضانات قوية تقتل 5 أشخاص في تونس,فيضانات عنيفة تقتل 5 أشخاص بالمغرب,disagree
تمجيد الزعيم على الطريقة الصينية,كيف يمجد الصينيون الزعماء ؟,agree
اغلاق أبواب كنيسة القيامة احتجاجا على إجراءات ضريبية إسرائيلية,كنيسة القيامة تفتح أبوابها للجميع,disagree
حكم بحبس هشام جنينة خمس سنوات,مصر: براءة هشام جنينة,disagree
الحرب في سوريا: القوات الحكومية تشن هجوما من خمسة محاور على الغوطة الشرقية,أعلنت الحكومة السورية عن توقف الهجوم على الغوطة الشرقية,disagree
الرئيس الفلسطيني يعتذر رسميا بعد تصريحات عن محارق اليهود,إعتذار الرئيس الفلسطيني بعد تصريحاته عن محارق اليهود,agree
صفعة جديدة للاقتصاد القطري.. سقوط الصفقة الثلاثية,الصفقة الثلاثية تسقط وقطر تتلقى صفقة مدوية,agree
الدولار عند أعلى مستوى وهبوط للإسترليني,صعود كبير للإسترليني وهبوط حاد للدولار,disagree
وسط ترنح الليرة.. المركزي التركي يتخذ خطوة تفوق التوقعات,الليرة تستقر والمركزي التركي يقف صامتا,disagree
مصر.. ارتفاع قياسي جديد للاحتياطي الأجنبي,زيادة قياسية للاحتياطي الاجنبي في مصر,agree
مسيرة صعود هارفي واينستين إلى العالمية وسقوطه المدوي,مسيرة صعود هارفي واينستين إلى العالمية,disagree
امرأة في السودان تواجه الإعدام شنقا بعدما قتلت زوجها المغتصب,امرأة سودانية تواجه شبح الإعدام شنقا بعدما قتلت زوجها اثناء اغتصابه لها,agree
تعرف على أهم بنود الاتفاق النووي الإيراني,إيران تلغي الاتفاق النووي,disagree
الدولار ينزل بعد هبوط الأسهم الأميركية,الأسهم الأميركية ترتفع بالدولار,disagree
المجلس الأعلى للإعلام في مصر: مسلسل أبو عمر المصري لا يسيء للسودان,المجلس الأعلى للإعلام في مصر يوقف مسلسل أبو عمر المصري,disagree
ارتفاع أسعار الذهب لأعلى مستوياته,انخفاض على أسعار الذهب مع ارتفاع في قيمة الدولار,disagree
تشريح جثتي سائحي الغردقة بعد أوامر من النيابة المصرية,النيابة المصرية تأمر بتسليم جثتي سائحي الغردقة البريطانيين,disagree
صعود لليرة قبل محاكمة برونسون,الليرة تواصل الهبوط رغم الأنباء عن اتفاق بشأن القس برونسون,disagree
مدعية المحكمة الجنايات الدولية تطالب بإنهاء العنف في غزة,محكمة الجنايات الدولية تطالب بوقف العنف في غزة,agree
طلب فلسطيني للمحكمة الجنائية الدولية بالتحقيق في جرائم ارتكبتها إسرائيل,المحكمة الجنائية الدولية تتلقى طلب فلسطيني بالتحقيق في جرائم ارتكبتها إسرائيل,agree
رحلة للتاريخ بين لندن وبيرث,رحلة تاريخية بين مدينتي لندن وبيرث,agree
قام الجيش المصري بقتل 16 عنصرا إرهابيا في سيناء,أخفق الجيش المصري في الوصل إلى العناصر التكفيرية في سيناء,disagree
لمحة عنجيش خالد بن الوليد التابع للدولة الإسلامية في جنوب غربي سوريا,أخبار عن جيش خالد بن الوليد في الأردن,disagree
حصيلة يوم واحد لسمسار فرنسي.. 6.6 مليار دولار,سمسار فرنسي يحصل على 6.6 مليار دولار في اليوم الواحد,agree
الشرطة السعودية تكشف لغز هدية ثمينة للإعلامية الكويتية حليمة بولند,كشفت الشرطة السعودية عن سر الهدية الثمينة للإعلامية الكويتية حليمة بولند,agree
رائف بدوي: أحد أوجه الأزمة بين كندا والسعودية,رائف بدوي يحل الأزمة بين كندا و السعودية,disagree
خطوات لإنقاذ الليرة التركية,المركزي التركي يساهم في مشكلة انخفاض قيمة الليرة,agree
اختلاف في أسعار النفط ..و الاستعداد لاجتماع أوبك,اختلاف في أسعار النفط ..و الاستعداد لبيع أوبك,disagree
هبوط جديد للعملة التركية,الليرة التركية تعود للارتفاع,disagree
الذهب يرتفع بدعم من عوامل فنية,عوامل فنية ترفع الذهب,agree
كشفت الشرطة السعودية عن سر الهدية الثمينة للإعلامية الكويتية حليمة بولند,الشرطة السعودية تفشل فى حل لغز الهدية الثمينة للإعلامية حليمة بولند,disagree
تعلن الحكومة اللبنانية عن رفضها لرجوع اللاجئيين السوريين,أعلنت الحكومة اللبنانية عن تأييدها التام قانونا لرجوع اللاجئيين السوريين,disagree
القوات السورية تسترد أراضي من مسلحي المعارضة في درعا,فشلت القوات السورية فى الحصول على أراضى فى درعا من مسلحى المعارضة,disagree
العراق يحظر زراعة الأرز.. لهذا السبب,إتاحة زراعة الأرز في العراق,disagree
من هو نبيه بري الذي يرأس برلمان لبنان للمرة السادسة؟,تساؤلات عن حقيقة شخصية نبيه بري,agree
محكمة سودانية تبطل زواج طفلة عمرها 11 عاما,محكمة سودانية تقضي بصحة زواج طفلة عمرها 11 عاما,disagree
صرح المرشد الأعلى الإيراني بأنه لن تكون هناك حرب ولا مفاوضات مع أمريكا,المرشد الأعلى الإيراني يعلن الحرب,disagree
هيومن رايتس ووتش تدعو دبي للكشف عن مصير ابنة حاكم الإمارة,دعت هيومن رايتس ووتش دبي أن تقوم باعلان مصير ابنة حاكم الإمارة,agree
سد النهضة الإثيوبي قد يشعل أول حرب على المياه في العالم,توقعات بنشوب اول حرب على المياه فى العالم بسبب سد النهضة,agree
الصين تستنجد باوروبا لوقف سياسات ترامب,مساع صينية  لردع خطط أوروبية بمساعدة ترامب,disagree
تقارير عن مقتل أطفال باليمن على يد السعودية,أجرى مجلس الأمن تحقيقا ضد سوريا لمقتل الأطفال,disagree
اتفاق من قبل أكبر نقابة للممثلين في الولايات المتحدة بشأن منع تجارب الأداء في غرف المنازل,اتفاق من قبل أكبر نقابة للممثلين في فرنسا بشأن منع تجارب الأداء في غرف المنازل,disagree
رائف بدوي: أحد أوجه الأزمة بين كندا والسعودية,تعرف على رائف بدوي أحد اوجه الأزمة القائمة بين كندا و السعودية,agree
فيدرر يفقد مجده في ميامي.. ونادال أكبر مستفيد,نادال يستفيد من خسارة فيدرر في ميامي,agree
اعتراف قطري بالخسائر الاقتصادية جراء الحصار,المقاطعة لا تؤثر على اقتصاد قطر,disagree
الذهب ينخفض مع فشل أزمة إيران في تحفيز المشتريات,فشل أزمة إيران في تحفيز المشتريات يؤدي إلى انخفاض النفط,disagree
تعرف على صلاحيات أردوغان في ظل النظام الرئاسي فى تركيا,تقلص صلاحيات أردوغان في تركيا,disagree
فرنسا تعرض الوساطة بين تركيا والأكراد في شمالي سوريا,فرنسا تتجاهل أزمة تركيا و الاكراد فى شمالى سوريا,disagree
النفط يرتفع بعد انخفاض مفاجئ في الخام الأميركي,ارتفاع على النفط عالميا والسبب الخام الأميركي,agree
29 قتيلا في هجوم بقذيفة صاروخية على سوق مزدحم شرقي دمشق,سقوط 29 قتيلا فى سوق مزدحم بدمشق بعد هجوم بقذيفة صاورخية,agree
ستاندرد آند بورز تحذر من تدهور للمالية العامة التركية,ستاندرد آند بورز تحذر من تداعي مالية تركيا العامة,agree
أنتقد الرئيس الإيراني العنف من شرطة الأخلاق,شجع الرئيس الإيراني شرطة الأخلاق على العنف,disagree
الليرة التركية تواصل خسائرها أمام الدولار,الليرة التركية تواصل الصعود أمام الدولار,disagree
تأجيل التصويت على انتخاب رئيس العراق وسط تنافس غير مسبوق,استمرار التصويت على انتخاب رئيس العراق وسط تنافس غير مسبوق,disagree
الحرب في سوريا: كيف يمكن أن تغير إدلب استراتيجية ترامب؟,هل يمكن ان تتغير استراتيجية ترامب فى سوريا بسبب إدلب؟,agree
نساء غوطة دمشق يشاركن العالم قصصهن عبر فيسبوك,نساء الغوطة منقطعات تماما عن العالم,disagree
الذهب يتراجع  والدولار يعصد بعد تشديد السياسة النقدية,تشديد السياسة النقدية يرفع الدولار يهبط بالذهب,agree
مصر.. رفع أسعار الغاز الطبيعي اعتبارا من أغسطس,مصر تعلن رفع أسعار الغاز الطبيعي في أغسطس,agree
تقرير دولي: نصف سكان العالم يعيشون بأقل من 6 دولارات يوميا,العالم يعيش على ٦ دولارات يوميا,disagree
تأكيد من وزير المالية الألماني على مصير العملة الأوروبية,تأكيد من وزير المالية التركي على مصير العملة الأوروبية,disagree
الغارات الجوية على الغوطة الشرقية لم تكن بغاز الكلور,استخدام غاز الكلور فى الغارات على الغوطة,disagree
مسؤول إيراني يعطي الترخيص لإقامة حفل راقص و الشرطة تعتقله,السلطات الإيرانية تخلي سبيل المسؤول عن ترخيص الحفل الراقص,disagree
رسميا.. مصر تعلن زيادة أسعار الغاز الطبيعي,اعلان عن انخفاض سعر الغاز الطبيعي في مصر,disagree
النفط يهبط وسط مؤشرات وفرة المعروض,النفط يرتفع وسط مؤشرات لغياب المعروض,disagree
اللجوء السوري مادة دسمة في سجالات الانتخابات اللبنانية,لجوء السوريين يمثل مادة دسمة فى صراع الانتخابات اللبنانية,agree
زوجة المخرج رومان بولانسكي ترفض دعوة الانضمام لأكاديمية أوسكار,رفض دعوة الانضمام لأكاديمية أوسكار من زوجة المخرج رومان بولانسكي,agree
مخزونات الخام الأميركي تهوي بالنفط,النفط يهوي والسبب مخزونات الخام الاميركي,agree
فتاة لبنانية تطلق على إنستغرام مشروع رسم بسبب أنف أختها!,لبنانية ترفض مشروع رسم على إنستغرام,disagree
المحكمة الجنائية الدولية تتلقى طلب فلسطيني بالتحقيق في جرائم ارتكبتها إسرائيل,المحكمة الجنائية الدولية ترفض التحقيق فى جرائم ارتكبتها إسرائيل,disagree
الرئيس السوداني يستبدل رئيس الأركان ضمن تغييرات في قيادات الجيش,بقاء رئيس الأركان السوداني فى منصبه,disagree
حبس معصوم مرزوق على ذمة التحقيق اتهامه بتحقيق أهداف جماعة إرهابية,اخلاء سبيل معصوم مرزوق,disagree
منظر طبيعي من أعمال فان غوخ الأولى يباع بـ 8.2 ملايين دولار,أحد الرسومات الفنية لبيكاسو يباع بقيمة 8.2 ملايين دولار,disagree
اتفاق أمريكي تركي على انسحاب المسلحين الأكراد من منبج السورية,فشل الأتفاق بين أمريكا و تركيا على انسحاب المسلحين من منبج,disagree
إنتاج مصر من الغاز يحقق قفزة في أكتوبر,قفزة لإنتاج ليبيا من الغاز في أكتوبر,disagree
الأسهم الأميركية تهبط بالدولار,الأسهم الأميركية ترتفع بالدولار,disagree
السعودية تعلن تزويدها للسودان بالنفط,السعودية تعلن تزويدها لموريتانيا بالنفط,disagree
الهند تخفض وارداتها من النفط الإيراني,الهند تزيد وارداتهل من نفط إيران,disagree
الدولار يقفز.. ويعزز مكاسبه,قفزة للدولار وتحقيق مكاسب,agree
دعى عباس الى مؤتمر دولى للسلام فى الشرق الأوسط بحلول منتصف العام,عباس لا يرى أهمية لمؤتمر السلام الدولي,disagree
تراجع مفاجئ لأسعار النفط.. وترقب عالمي لـكلمة ترامب,العالم يترقب موقف أميركي والنفط لمستويات متدنية,agree
الأتراك يستنجدون والليرة تواصل الهبوط,اردوغان يصمت والليرة تواصل الصعود,disagree
أسعار النفط ترتفع بفعل طلب قوي,طلب قوي يرفع أسعار النفط,agree
إيران: وجودنا في سوريا يستهدف الإرهاب وليس إسرائيل,صرحت إيران بأن هدفها الأساسي هو مواجهة إسرائيل,disagree
ملك الأردن يجمد قرار الحكومة برفع أسعار المحروقات,العاهل الأردني مع سريان قرار المحروقات الجديد,disagree
أجهضت 12 مرة بإرادتها في بلد عربي يكفل حق الإجهاض,سيدة تواجه المحاكمة بتهمة الاجهاض,disagree
