claim_s,fake_flag
البحرين تجرد 115 شخصا من جنسيتها لإدانتهم في قضية كتائب ذو الفقار,0
مصريون اختلسوا مليار دولار يفلتون من المحاكمة,1
هل يمكن ان تتغير استراتيجية ترامب فى سوريا بسبب إدلب؟,0
توقف القصف في سوريا,1
مسلسل أسباني يحقق ملايين الدولارات على يوتيوب,1
برميل النفط يتجاوز حاجز ٧٤ دولار,1
أخو العاهل السعودي الأمير أحمد بن عبد العزيز ينفي انتقاده للملك وولي العهد,0
الأتراك يستنجدون والليرة تواصل الهبوط,0
أعلنت منظمة العفو الدولية أن تسليح السعودية وحلفائها سبب اضرارا كبيرة للمدنيين في اليمن,0
مركزي السودان يسحب السيولة من الصرافات,1
غارات إسرائيلية على قطاع غزة تتسبب في مقتل أم حامل و طفلتها,0
مبتكر شخصية الرجل العنكبوت يتوفى عن عمر يناهز 90 عام,0
اكتشاف جديد: قبر فرعوني يحتوي على فول عمره 3200 سنة,1
مصر توقع اتفاقا جديدا مع البنك الدولي,0
الغارات الجوية على الغوطة الشرقية لم تكن بغاز الكلور,0
اليورو يعاني بسبب الليرة والذهب يرتفع,0
الريال الإيراني يواصل الانهيار الكبير,0
الممثلة سكارلين جوهانسون تتقاضى الأجر الأكبر في أفريقيا,1
عام 2020 تخصصه دار نشر بريطانية لنشر مؤلفات المرأة,1
إلغاء انتخابات البرلمان فى لبنان,1
صندوق النهضة في ضيافة القاهرة,0
مصر تحقق أفضل تصنيف ائتماني في 7 سنوات,0
شركة صينية غامضة تقلق العالم.. وترعب أميركا,0
تأكيد من وزير المالية التركي على مصير العملة الأوروبية,1
نساء حكمن مصر في عصر المماليك,1
سوريا تعترف رسميا بإقليمين منفصلين عن جورجيا تدعمهما روسيا,0
أعلى مرجع شيعي يحض العراقيين على عدم انتخاب الفاشلين والفاسدين في الانتخابات النيابية,0
إبتعاد ممثلات مصريات عن خشبة المسرح بسبب مشهد عناق,1
الصين تستثمر قريباً في الصومال,1
الهند.. أكبر قضية احتيال مصرفي قد تتجاوز 3 مليارات,0
أردوغان يقلص من سلطاته التنفيذية,1
مصر تخفض أسعار الغاز الطبيعي في أغسطس,1
الذهب يرتفع بدعم من عوامل فنية,0
تعرض عشرات المهاجرين الغير شرعيين للغرق قبالة سواحل اليمن,0
محتال التصنيف الائتماني تحت نيران أردوغان,0
الأتراك يدفعون لرفع قيمة الليرة,0
اتفاق أمريكي تركي على انسحاب المسلحين الأكراد من منبج السورية,0
كيف احتفت مغنية راب سعودية بقيادة المرأة للسيارة,0
أسعار النفط تتراجع مع ارتفاع الدولار,0
الزفزافي وريث عبد المنعم الخطابي غير معروف لدى الريف المغربي,1
قطر تشيد بالإمارات فى مجال حقوق الإنسان,1
أسهم أوروبا تنجو من حرب قطبي الاقتصاد العالمي,1
تحذير من الأمم المتحدة بشأن ما يحدث في الغوطة الشرقية,0
نفي من وزارة الآثار المصرية لوجود غرف سرية وراء مقبرة توت عنخ آمون,0
جونسون يدعو ب بريطانيا للبقاء في الاتحاد الجمركي الأوروبي,1
احتجاجات ضخمة تناهض الفساد وارتفاع الأسعار والبطالة جنوب العراق,0
ملايين الدولارات أرباح أحد المسلسلات الأمريكية على يوتيوب,0
تظهور اقتصاد لبنان يدخل الدولة في أزمة,0
اشتباكات عنيفة في منطقة عفرين السورية مما أدى لمقتل 8 جنود أتراك,0
نزوح أعداد كبيرة من عفرين مع استمرار الهجمات التركية,0
يوم المرأة: نساء الموصل يحتفلن بحريتهن,0
تنبؤات روسية عن موت الملايين بسبب المجاعة في اليمن إذا إستمرت الحرب,1
مليارات من الأسواق الخاملة والنشطة للسعودية بعد إضافتها لمؤشؤ MSCI,0
الريال الإيراني يتعافى رغم العقوبات,1
روسيا بدون غارات جوية على سوريا منذ هدنة 2017,1
ترقب للموقف الأميركي بعد التصعيد التركي,0
تقليص توقعات نمو الطلب العالمي على النفط,0
ترامب: الحرس الثوري الإيراني يسرق شعبه لتمويل الإرهاب في بلاده,1
رائف بدوي يحل الأزمة بين كندا و السعودية,1
هدوء بين تنظيم الدولة و الجيش العراقي شرقي سوري,1
ويني الدبدوب يثير جدلا في الصين,0
شكاوى عن عدم العناية بالآثار في مصر بعد تفكيك بعض المنابر الأثرية,0
مورغان ستانلي يرى قفزة كبيرة في أسعار النفط,0
الدولار يتراجع والذهب يرتفع,0
إسرائيل تدين الشاعرة الفلسطينية دارين طاطور بـ التحريض على العنف بسبب قصيدة,0
طريق الحرير في انفوغرافيك,0
هبوط تحويلات المغتربين المصريين,1
حرب تجارية تهدد علاقات أميركا وأوروبا.. وبدء خطوات انتقامية,0
إجراءات من البنك المركزي التركي لإنقاذ الليرة,0
موت مريم مصطفى: نيابة مدينة روما تفتح تحقيقا في القضية,0
مبادرة سعودية تدعم الوضع الإقتصادي اليمني,0
أهم 10 أفلام يجب الانتباه إليها في مهرجان كان السينمائي 2018,0
نساء البحرين يقتحمن مجال إصلاح السيارات,0
الممثل الفرنسي الشهير جيرار ديبارديو متهم باغتصاب ممثلة شابة,0
بالصور: أول ظهور للبيتلز في الولايات المتحدة الأمريكية,0
الممثلة الإباحية ستورمي دانيلز تغيب عن بيغ براذر في اللحظات الأخيرة لـخلاف مع المنتجين,0
لا فائز بمسابقة للرواية الهزلية أعمالها ليست مضحكة بما يكفي,0
الهند تزيد وارداتهل من نفط إيران,1
هشام عشماوى فى قبضة السلطات المصرية,0
جيب وروكسور الهندية أمام القضاء الأميركي,0
إزالة  قصيدة للشاعر الإنجليزي كيبلينغ وصفت بالعنصرية من قبل طلبة في جامعة مانشستر,0
فتح تحقيق في قضية موت مريم مصطفى في مدينة روما,0
تفاقم القلق العراقي بسبب الحرب على المياه بين إيران وتركيا,0
تركيا تمدد سجن قس أمريكي تتهمه بدعم جماعة غولن,0
روسيا مستعدة لأي حرب تجارية ضد واشنطن,1
رفض دعوة الانضمام لأكاديمية أوسكار من زوجة المخرج رومان بولانسكي,0
إيقاف وزير الكهرباء عن العمل بعد احتجاجات شعبية على الخدمات السيئة,0
يبدأ أردوغان ولاية جديدة فى الرئاسة بصلاحيات كبيرة غير مسبوقة,0
بعد اتهامه بالتحرش : مخرج فيلم قصة لعبة يرحل عن ديزني,1
سرقة أكثر من 900 مليون دولار من العملات الرقمية,0
أثيوبيا تطمئن مصر حول حصتها المائية,0
صعود في النفط في المعاملات المبكرة,1
لبنان ترمي الدبابات في عرض البحر!,0
تدهور سريع بالليرة التركية,0
طريقة انتخاب رئيس الجمهورية و رئيس البرلمان في دولة العراق,0
جنيه السودان يرتفع بفضل سلام جوبا,0
هبوط حاد لليرة التركية مقابل الدولار,0
مقتل 257 في تحطم طائرة نقل عسكرية بالجزائر,0
الجزائر تؤكد ظهور 41 حالة إصابة بالكوليرا في أربع ولايات,0
عملات الأسواق الناشئة ترتفع لأعلى مستوى,1
عادل عبد المهدي: الاقتصادي المكلف برئاسة الحكومة العراقية,0
مشروع عملاق في قناة السويس.. و50 ألف فرصة عمل,0
طفرة سياحية تونسية هذا العام,0
طبيبة بريطانية: ظروف العمل في ملعب خليفة الدولي القطري غير آمنة,0
120 كنيسة حصلت على تراخيصها في مصر,0
تأييد المعارضة في تركيا لأردوغان في الإنتخابات الرئاسية,1
نفط إيراني لكوريا الجنوبية رغم العقوبات الأميركية,1
تراجع كوريا الشمالية عن اتفاق التجارة الحرة,1
صراع الانتخابات اللبنانية لا يلقي الضوء على لجوء السوريين,1
تاريخ و أصل موالد الأولياء و القديسين في السودان,1
انفجارات ديمغرافي مستمر في أكبر مدن العالم,0
الحوثيون: من جبال صعدة إلى حكم صنعاء,0
ما غايات الأطراف المشاركة في معركة الجولان؟,1
شركتا اتصالات أميركيتان تندمجان ب١٤٦ مليار دولار,0
عهد ترامب.. أرقام اقتصادية إيجابية يفسدها الفقر,0
الأسعار تتجه للهبوط و الدولار يؤثر على سعر الذهب,0
استعراض مصري لآخر مشاريعها التنموية,0
إيرادات قناة السويس السنوية ترتفع ارتفاعاً قياسياً,0
تركيا تعلن استقرار الليرة,1
صرح الجيش الإيراني بأنه لن ينتظر الإذن من واشنطن لتطوير قدراته الدفاعية,0
عشرات الآلاف من مقاتلي تنظيم الدولة مازالوا منتشرين في سوريا والعراق,0
إعدام 12 مدانا بالإرهاب فى العراق تنفيذا لأوامر العبادي,0
البشير ينفي وجود حلول اقتصادية جديدة,1
أردوغان: مقاتلون إسرائليون يغادرون مدينة منبج السورية,1
أدنوك و مؤسسة البترول الصينية توقعا اتفاقيتي امتياز,0
السعودية تعلن عن ميزانية ضخمة لعام 2019,0
ملياردير أميركي مدمن على شراء أسهم أبل,0
تريليون دولاتر أس مال شركة,0
صرحت الرسامة الجزائرية بأن رسمها لا يجسد الخيال بل الحقيقة,0
تعرض تركيا للضغط من قبل رجال الأعمال بسبب إختفاء خاشفجي,1
كوريا الشمالية تدعم سوريا بمواد قد يتم استخدامها لإنتاج أسلحة كيماوية,0
